1,"Because of  Never Say ""Die"" , a horrifying scene became arguably EVEN WORSE.",1
2,The first episode deals with   one of the season 1 bad guys getting killed by an  Eldritch Abomination  with telekinesis!,1
3,"Sure it's off-screen and its costume looks fake and silly, but still!",1
4,"The end of ""Mutant Rain"" has him reveal his face to Aaron and the rest of his team.",0
5,"The Laws of Robotics, established by  Isaac Asimov , are programmed into STAN, which is often an important plot point.",0
6,The Season 2 premiere provides an inadvertent example.,0
7,"The show grew out of a sketch on French   Saunders, which featured an obnoxious, partying mother and her sober, responsible daughter.",0
8,Edina's treatment of Saffron constitutes full-on abuse at times and it's always  Played for Laughs .,0
9," (2001-2009) with  Bumbling Dad  ( ""Jim"" Belushi ) and long suffering  hot wife  (Courtney Thorne-Smith).",0
10,Jim Belushi wrote the theme song and he regularly performs in a band on the show showing off his harmonica skills.,0
11,"After getting turned down to take Cheryl to a baby shower in Jim's place, Andy quips""I guess it's just me and my palm tonight.",0
12,"For example in one episode Jim explains that men and women's brains are wired so they won't remember certain things, Cheryl gets mad at him, only to later find herself trapped in the garage because none of the girls can remember the key code for the door, which her toddler son punches in effortlessly.",0
13,Too bad for them a woman ends up the winner.,0
14,Andy has been a victim of this.,0
15,"Cheryl, Andy, and Dana make Jim think his dead friend came back to life, because Jim stole back his playing card that said friend stole the day before he died.",0
16,It's like Christmas time for the boozers!,0
17," Kate + Eight  visited as a surprise for Kate; Guy Fieri came in for an episode of  Diners, Drive-ins and Dives  on Baltimore and Duff treated him to a giant cake shaped like a giant hamburger; Geof and Duff made an anniversary cake for  King of the Hill  and had cameos on the show; the crew traveled to Hawaii to  simultaneously  work on cakes for  Lost 's wrap party and a US military base (both groups loved it).",0
18,Is that where the puppet-versions of the bakers in the  Lost  episode came from?,0
19,"He also competed on  Chopped Tournament , where he   was chopped in the appetizer round .",1
20,"Which is totally cheating, Geof is deadpan everything.",0
21,Mostly the older cakes.,0
22,"The chef treated Duff and Geoff to a  pig face sandwich  for breakfast, which Duff tore into while poor Geoff seemed like  he was only eating to be polite .",0
23,Even his mom calls him Duff on the show.,0
24,"Came full circle when Duff and the Charm City Cakes staff themselves were judges of a  Food Network Challenges  episode, where the theme was, appropriately enough, ""Extreme Cakes.",0
25,"""You (the puppet bakers) aren't working out, I'm bumping you to the minor leagues""    Stuffed in a box  with a ""Jersey Or Bust"" sign (if they really went there, they'd be returned covered in flour and dipped in icing).",0
26,"This meant that not only did it have to look a little busted-up but also match the ""painterly"" style of the show, which went against the shop's no-visible-brushstrokes ideal.",0
27,They were able to do everything aside from getting R2's head to turn - it was beyond Duff's engineering skills but fortunately a handyman at Skywalker Ranch was able to rig up a little something and save the day.,0
28," /  Close Enough Timeline Parodied in the final  Back to the Future -themed episode where  screwing around with the bakery's flux capacitor caused the bakers to become office workers, bugs, and random haz-mat suit (really painter's suits) wearers.",1
29,Really  screwing up the flux capacitor caused Geof and Duff to become workers at a cake box factory .,1
30,": Mary Alice:  The customer asks for ten, Duff will give them eleven.",0
31," and a loose adaptation of  Alice's Adventures in Wonderland , which ran on the  Disney Channel  from 1991 to 1995.",0
32,Even after she returns in the middle of the charade.,0
33,"In ""Her-story in the Making"", Alice tries getting her Wonderland friends to write a story for her school assignment for her.",0
34,This show provides examples of:   Fawlty Towers Plot,0
35,"Anyway, the result is essentially the same show as  M*A*S*H  except without the war.",0
36,"T's signature mohawk, theorizing that  After MASH  would take a large portion of  The A-Team 's audience.",0
37,"The theory, of course, was proven wrong.",0
38,"In addition to its own  Afterschool Special , ABC aired a  Weekend Special  from 1977-1997, although these were far less heavy-handed and moreso adaptations of children's stories.",0
39,"  Donnie  by the end of the episode in which the adoption is revealed, it seems.",1
40,Brody and Richie are this earlier in the season before Brody and Abby's  Relationship Reveal .,0
41,An investigation of a brawl at a wedding turns into a   rape investigation .,1
42,"Played fairly realistically in that she does not really get into the action too much, but she never backs down and she still her detective-smarts.",0
43,"Then later in another episode its a case of  Well Done Son Guy  as her older brother, Donnie, is portrayed as constantly seeking his father's approval and pride.",0
44,"   played straight in ""Todesfahrt der Linie 834""; subverted in ""Tulpen aus Amsterdam"", where the folks on the bus were part of the conspiracy",0
45,"   In nearly every episode, at least one  Dienstwagen  (official vehicle) usually Semir's 3-series BMW or his partner's E-Class Mercedes is demolished.",0
46,") The truck is lettered for a fictional company, "" Atalay  GMBH"".",0
47,   often done with a car,0
48,"Semir investigates the murder of one of the teachers from his old high school; because his usual partner (Chris Ritter) is in the hospital, he's paired up with an older officer (Diether Bonrath) who does things the ""old school"" way.",0
49,You'll often see a plot development coming up behind them.,0
